Date,Germany: Stock Market,Germany: Currency,Germany: Interest Rate,BGF US Growth A2 {USD},prediction
,9223.4,1.3587,0.25,12.48,12.267534
,9140.63,1.3556,0.25,12.39,12.214627
,9084.95,1.3656,0.25,12.47,12.136795
,9172.41,1.3684,0.25,12.66,12.176186
,9195.17,1.3719,0.25,12.66,12.36111
,9195.17,1.3719,0.25,12.66,12.359238
,9195.17,1.3719,0.25,12.65,12.369657
,9114.44,1.3771,0.25,12.6,12.361596
,9077.11,1.379,0.25,12.64,12.292169
,9017.0,1.3753,0.25,12.47,12.32337
,9006.46,1.3730000000000002,0.25,12.51,12.1768265
,9163.56,1.3754,0.25,12.51,12.215482
,9163.56,1.3754,0.25,12.51,12.245498
,9163.56,1.3754,0.25,12.65,12.241739
,9085.12,1.3730000000000002,0.25,12.68,12.353009
,9181.75,1.3762,0.25,12.6,12.356016
,9335.74,1.3668,0.25,12.79,12.316785
,9400.18,1.367,0.25,12.86,12.53064
,9488.82,1.3706,0.25,12.86,12.578227
,9488.82,1.3706,0.25,12.86,12.597035
,9488.82,1.3706,0.25,12.98,12.597214
,9488.82,1.3667,0.25,12.98,12.693908
,9488.82,1.3667,0.25,12.98,12.697672
,9488.82,1.3692,0.25,12.98,12.696595
,9589.39,1.3777,0.25,13.12,12.693479
,9552.16,1.3814,0.25,13.12,12.826618
,9552.16,1.3814,0.25,13.12,12.816585
,9552.16,1.3814,0.25,13.06,12.825801
,9552.16,1.3779,0.25,13.11,12.776977
,9552.16,1.3779,0.25,13.11,12.823715
,9400.04,1.3658,0.25,13.07,12.8172865
,9435.15,1.3613,0.25,13.12,12.763085
,9428.0,1.3642,0.25,13.12,12.8127985
,9428.0,1.3642,0.25,13.12,12.80102
,9428.0,1.3642,0.25,13.04,12.807099
,9506.2,1.3606,0.25,13.14,12.7411375
,9497.84,1.36,0.25,13.23,12.851326
,9421.61,1.3585,0.25,13.26,12.913093
,9473.24,1.3672,0.25,13.22,12.921577
,9510.17,1.3653,0.25,13.22,12.893781
,9510.17,1.3653,0.25,13.22,12.917841
,9510.17,1.3653,0.25,13.27,12.912114
,9540.51,1.3687,0.25,13.08,12.953163
,9733.81,1.3594,0.25,13.33,12.797786
,9717.71,1.3601,0.25,13.35,13.07528
,9742.96,1.3557,0.25,13.35,13.058593
,9715.9,1.3563,0.25,13.35,13.07693
,9715.9,1.3563,0.25,13.35,13.061389
,9715.9,1.3563,0.25,13.36,13.062998
,9730.12,1.3544,0.25,13.44,13.071347
,9720.11,1.3564,0.25,13.41,13.144886
,9631.04,1.368,0.25,13.27,13.112027
,9392.02,1.3685,0.25,13.07,12.959879
,9349.22,1.3673,0.25,13.07,12.74735
,9349.22,1.3673,0.25,13.07,12.748268
,9349.22,1.3673,0.25,12.86,12.747176
,9406.91,1.3664,0.25,12.87,12.575346
,9336.73,1.3644,0.25,12.78,12.603805
,9373.48,1.3563,0.25,12.81,12.502347
,9306.48,1.3485,0.25,12.76,12.550848
,9186.52,1.3518,0.25,12.76,12.487878
,9186.52,1.3518,0.25,12.76,12.446581
,9186.52,1.3518,0.25,12.77,12.456124
,9127.91,1.351,0.25,12.56,12.465974
,9116.32,1.3532,0.25,12.48,12.280338
,9256.58,1.3599,0.25,12.75,12.218855
,9301.92,1.3618,0.25,12.89,12.4649105
,9289.86,1.3647,0.25,12.89,12.578633
,9289.86,1.3647,0.25,12.89,12.575681
,9289.86,1.3647,0.25,13.08,12.584155
,9478.77,1.3676,0.25,13.12,12.741382
,9540.0,1.3588,0.25,13.25,12.819123
,9596.77,1.3666,0.25,13.18,12.95695
,9662.4,1.3686,0.25,13.26,12.88736
,9656.76,1.3702,0.25,13.26,12.977889
,9656.76,1.3702,0.25,13.26,12.969025
,9656.76,1.3702,0.25,13.29,12.971921
,9659.78,1.3751,0.25,13.36,12.996209
,9660.05,1.3753,0.25,13.42,13.048121
,9618.85,1.3712,0.25,13.28,13.105123
,9656.95,1.3745,0.25,13.43,12.986664
,9708.94,1.3726,0.25,13.43,13.114926
,9708.94,1.3726,0.25,13.43,13.132115
,9708.94,1.3726,0.25,13.48,13.131149
,9699.35,1.3733,0.25,13.44,13.172138
,9661.73,1.3667,0.25,13.5,13.135727
,9588.33,1.3681,0.25,13.5,13.187276
,9692.08,1.3811,0.25,13.61,13.1596775
,9358.89,1.3773,0.25,13.61,13.268576
,9358.89,1.3773,0.25,13.61,13.203832
,9358.89,1.3773,0.25,13.38,13.216568
,9589.15,1.3742,0.25,13.57,13.033542
,9542.02,1.3739,0.25,13.61,13.254783
,9542.87,1.3840000000000001,0.25,13.71,13.2591715
,9350.75,1.3862,0.25,13.64,13.331515
,9265.5,1.3879,0.25,13.64,13.238093
,9265.5,1.3879,0.25,13.64,13.227079
,9265.5,1.3879,0.25,13.48,13.236746
,9307.79,1.3866,0.25,13.58,13.107894
,9188.69,1.3905,0.25,13.42,13.200459
,9017.79,1.3927,0.25,13.42,13.027041
,9056.41,1.3925,0.25,13.18,12.988795
,9180.89,1.3927,0.25,13.18,12.805954
,9180.89,1.3927,0.25,13.18,12.834825
,9180.89,1.3927,0.25,13.32,12.821346
,9242.55,1.3913,0.25,13.42,12.93259
,9277.05,1.3909,0.25,13.44,13.033078
,9296.12,1.3783,0.25,13.32,13.0608425
,9342.94,1.3782,0.25,13.39,12.984425
,9188.77,1.3783,0.25,13.39,13.036316
,9188.77,1.3783,0.25,13.39,12.991957
,9188.77,1.3783,0.25,12.97,12.998866
,9338.4,1.3777,0.25,12.94,12.651716
,9448.58,1.3785,0.25,12.96,12.6671095
,9451.21,1.3739,0.25,12.75,12.688701
,9587.19,1.3752,0.25,12.86,12.512737
,9555.91,1.3782,0.25,12.86,12.630603
,9555.91,1.3782,0.25,12.86,12.601761
,9555.91,1.3782,0.25,12.9,12.606607
,9603.71,1.3794,0.25,12.95,12.637925
,9623.36,1.3768,0.25,13.1,12.689394
,9628.82,1.3716,0.25,13.15,12.821399
,9695.77,1.3693,0.25,12.95,12.867719
,9510.85,1.3742,0.25,12.95,12.721441
,9510.85,1.3742,0.25,12.95,12.662155
,9510.85,1.3742,0.25,12.61,12.670131
,9490.79,1.3794,0.25,12.43,12.393012
,9506.35,1.3824,0.25,12.58,12.243062
,9454.54,1.3881,0.25,12.69,12.364384
,9315.29,1.3887,0.25,12.29,12.422373
,9339.17,1.3815,0.25,12.29,12.072882
,9339.17,1.3815,0.25,12.29,12.112666
,9339.17,1.3815,0.25,12.22,12.090139
,9173.71,1.3824,0.25,12.34,12.035238
,9317.82,1.3806,0.25,12.47,12.084763
,9409.71,1.3835,0.25,12.56,12.234236
,9409.71,1.3835,0.25,12.56,12.319282
,9409.71,1.3804,0.25,12.56,12.320494
,9409.71,1.3804,0.25,12.56,12.326846
,9409.71,1.3804,0.25,12.56,12.323048
,9600.09,1.3796,0.25,12.75,12.323369
,9544.19,1.3829,0.25,12.73,12.530342
,9548.68,1.3819,0.25,12.59,12.479854
,9401.55,1.3837,0.25,12.51,12.380023
,9446.36,1.3844,0.25,12.51,12.273265
,9446.36,1.3844,0.25,12.51,12.291999
,9446.36,1.3844,0.25,12.4,12.288768
,9584.12,1.3817,0.25,12.4,12.200498
,9603.23,1.3865,0.25,12.42,12.2453985
,9556.02,1.3865,0.25,12.42,12.245126
,9556.02,1.3865,0.25,12.65,12.234615
,9529.5,1.3878,0.25,12.65,12.419906
,9529.5,1.3878,0.25,12.65,12.405931
,9529.5,1.3878,0.25,12.58,12.416558
,9467.53,1.3933,0.25,12.66,12.36099
,9521.3,1.3922,0.25,12.43,12.403119
,9607.4,1.3863,0.25,12.54,12.240421
,9581.45,1.3756,0.15,12.43,12.364886
,9702.46,1.3755,0.15,12.43,12.336425
,9702.46,1.3755,0.15,12.43,12.328509
,9702.46,1.3755,0.15,12.63,12.325816
,9754.43,1.3706,0.15,12.66,12.484359
,9754.39,1.371,0.15,12.63,12.524559
,9656.05,1.3716,0.15,12.43,12.496608
,9629.1,1.3704,0.15,12.43,12.311671
,9659.39,1.3719,0.15,12.43,12.319384
,9659.39,1.3719,0.15,12.43,12.32068
,9659.39,1.3719,0.15,12.52,12.321732
,9639.08,1.3695,0.15,12.55,12.393079
,9697.87,1.3664,0.15,12.62,12.412058
,9720.91,1.3656,0.15,12.74,12.489262
,9768.01,1.3631,0.15,12.77,12.585816
,9892.82,1.3651,0.15,12.77,12.6229105
,9892.82,1.3651,0.15,12.77,12.650621
,9892.82,1.3651,0.15,12.84,12.647063
,9940.82,1.3614,0.15,12.91,12.701779
,9939.17,1.3597,0.15,12.93,12.77501
,9938.9,1.3615,0.15,12.93,12.78637
,9943.27,1.3645,0.15,12.98,12.782276
,9950.12,1.3607,0.15,12.98,12.821872
,9950.12,1.3607,0.15,12.98,12.831867
,9950.12,1.3607,0.15,12.98,12.828257
,9919.74,1.3619999999999999,0.15,12.99,12.82853
,9926.67,1.3621,0.15,12.95,12.826112
,9947.83,1.3615,0.15,13.0,12.798029
,9987.19,1.3639,0.15,13.11,12.847137
,10008.63,1.3593,0.15,13.11,12.940297
,10008.63,1.3593,0.15,13.11,12.953124
,10008.63,1.3593,0.15,13.11,12.948677
,10028.8,1.3545,0.15,13.09,12.948571
,9949.81,1.3533,0.15,13.08,12.9451
,9938.7,1.3551,0.15,13.1,12.91073
,9912.87,1.3528,0.15,12.95,12.923295
,9883.98,1.357,0.15,12.95,12.799809
,9883.98,1.357,0.15,12.95,12.788784
,9883.98,1.357,0.15,12.97,12.792071
,9920.32,1.3544,0.15,12.97,12.808637
,9930.33,1.3572,0.15,12.96,12.822633
,10004.0,1.3632,0.15,13.04,12.808353
,9987.24,1.3575,0.15,13.03,12.887126
,9920.92,1.3592,0.15,13.03,12.883919
